action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
sell,22,51164.21,long,0.1730366553164093,8832.043773752695,100,8.853313872448851,2021-12-24 18:00:00,8844.460558576402,0.0,0.0
sell,23,51164.21,short,0.1728642064164853,8844.460558576402,100,0.0001728642064164853,2021-12-24 18:00:00,8844.460558576402,0.0,0.1728642064164853
buy,23,51073.03,short,0.1728642064164853,8844.460558576402,100,8.860222316917458,2021-12-25 01:00:00,8851.36209460054,0.0,0.0
buy,24,51073.03,long,0.1731346413656276,8851.36209460054,100,8.851362094600539,2021-12-25 01:00:00,8842.510732505938,0.1731346413656276,0.0
sell,24,50978.99,long,0.1731346413656276,8851.36209460054,100,8.82621285295236,2021-12-25 22:00:00,8817.386640099407,0.0,0.0
sell,25,50978.99,short,0.1729611873459911,8817.386640099407,100,0.0001729611873459911,2021-12-25 22:00:00,8817.386640099407,0.0,0.1729611873459911
buy,25,50641.44,short,0.1729611873459911,8817.386640099407,100,8.875769688888044,2021-12-25 23:00:00,8866.893919199156,0.0,0.0
buy,26,50641.44,long,0.17491657080209322,8866.893919199156,100,8.866893919199155,2021-12-25 23:00:00,8858.027025279956,0.17491657080209322,0.0
sell,26,50269.49,long,0.17491657080209322,8866.893919199156,100,8.792901681426263,2021-12-26 18:00:00,8784.108779744836,0.0,0.0
sell,27,50269.49,short,0.17474036000255497,8784.108779744836,100,0.00017474036000255497,2021-12-26 18:00:00,8784.108779744836,0.0,0.17474036000255497
buy,27,50684.91,short,0.17474036000255497,8784.108779744836,100,8.711518139392574,2021-12-28 00:00:00,8702.806621253181,0.0,0.0
buy,28,50684.91,long,0.17153239129026623,8702.806621253181,100,8.702806621253181,2021-12-28 00:00:00,8694.103814631928,0.17153239129026623,0.0
sell,28,47534.64,long,0.17153239129026623,8702.806621253181,100,8.15318955406137,2021-12-30 12:00:00,8145.0363645073085,0.0,0.0
sell,29,47534.64,short,0.17134949090825782,8145.0363645073085,100,0.00017134949090825784,2021-12-30 12:00:00,8145.0363645073085,0.0,0.17134949090825782
buy,29,47102.28,short,0.17134949090825782,8145.0363645073085,100,8.219121030396403,2021-12-31 01:00:00,8210.901909366006,0.0,0.0
buy,30,47102.28,long,0.17414636844451353,8210.901909366006,100,8.210901909366006,2021-12-31 01:00:00,8202.69100745664,0.17414636844451353,0.0
sell,30,47179.26,long,0.17414636844451353,8210.901909366006,100,8.21611021410615,2021-12-31 08:00:00,8207.894103892044,0.0,0.0
sell,31,47179.26,short,0.173972506221845,8207.894103892044,100,0.000173972506221845,2021-12-31 08:00:00,8207.894103892044,0.0,0.173972506221845
buy,31,46666.97,short,0.173972506221845,8207.894103892044,100,8.297018479104434,2021-12-31 19:00:00,8288.72146062533,0.0,0.0
buy,32,46666.97,long,0.17743669107218024,8288.72146062533,100,8.288721460625329,2021-12-31 19:00:00,8280.432739164704,0.17743669107218024,0.0
sell,32,47234.25,long,0.17743669107218024,8288.72146062533,100,8.381189782319286,2022-01-01 08:00:00,8372.808592536965,0.0,0.0
sell,33,47234.25,short,0.17726138538321165,8372.808592536965,100,0.00017726138538321165,2022-01-01 08:00:00,8372.808592536965,0.0,0.17726138538321165
buy,33,47083.1,short,0.17726138538321165,8372.808592536965,100,8.399601650937639,2022-01-02 06:00:00,8391.202049286701,0.0,0.0
buy,34,47083.1,long,0.17804288263171744,8391.202049286701,100,8.3912020492867,2022-01-02 06:00:00,8382.810847237415,0.17804288263171744,0.0
sell,34,47809.73,long,0.17804288263171744,8391.202049286701,100,8.512311647844708,2022-01-02 17:00:00,8503.799336196864,0.0,0.0
sell,35,47809.73,short,0.17786754571081792,8503.799336196864,100,0.00017786754571081793,2022-01-02 17:00:00,8503.799336196864,0.0,0.17786754571081792
buy,35,47269.93,short,0.17786754571081792,8503.799336196864,100,8.599812237371566,2022-01-02 23:00:00,8591.212425134194,0.0,0.0
buy,36,47269.93,long,0.18156619256066298,8591.212425134194,100,8.591212425134193,2022-01-02 23:00:00,8582.62121270906,0.18156619256066298,0.0
sell,36,47413.38,long,0.18156619256066298,8591.212425134194,100,8.608692954773952,2022-01-03 12:00:00,8600.084261819176,0.0,0.0
sell,37,47413.38,short,0.18138517569975346,8600.084261819176,100,0.00018138517569975346,2022-01-03 12:00:00,8600.084261819176,0.0,0.18138517569975346
buy,37,46678.16,short,0.18138517569975346,8600.084261819176,100,8.733442270697148,2022-01-03 16:00:00,8724.708828426452,0.0,0.0
