unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1.69033E+12,26/07/2023 00:00,BTC/EUR,26449.1,26762.24,26364.71,26514.98,1.24426307,32991.61042
1.69024E+12,25/07/2023 00:00,BTC/EUR,26417.39,26616.35,26293.34,26449.1,1.42630057,37724.36641
1.69016E+12,24/07/2023 00:00,BTC/EUR,27056.41,27056.41,26170.99,26417.39,5.08753742,134399.4602
1.69007E+12,23/07/2023 00:00,BTC/EUR,26700,27292.39,25883.1,27056.41,1.40576385,38034.92309
1.68998E+12,22/07/2023 00:00,BTC/EUR,26929.34,26958,26700,26700,0.09019225,2408.133075
1.6899E+12,21/07/2023 00:00,BTC/EUR,26812.41,26987.03,26772.62,26929.34,1.14132093,30735.01937
1.68981E+12,20/07/2023 00:00,BTC/EUR,26760.04,27147.35,26539.68,26812.41,3.09017419,82855.01735
1.68972E+12,19/07/2023 00:00,BTC/EUR,26623.91,26902.18,26623.91,26760.04,2.69154302,72025.79888
1.68964E+12,18/07/2023 00:00,BTC/EUR,26813.24,27809.7,26364.71,26623.91,2.60235511,69284.86824
1.68955E+12,17/07/2023 00:00,BTC/EUR,26948.96,27047.69,25812.71,26813.24,1.77201591,47513.48788
1.68947E+12,16/07/2023 00:00,BTC/EUR,27021.04,27510.9,26849.61,26948.96,1.05888211,28535.77163
1.68938E+12,15/07/2023 00:00,BTC/EUR,26963.95,27088.75,26963.95,27021.04,0.14539129,3928.623863
1.68929E+12,14/07/2023 00:00,BTC/EUR,28035.12,28177.44,26700,26963.95,1.66808395,44978.13222
1.68921E+12,13/07/2023 00:00,BTC/EUR,27342.98,28391.5,27243.87,28035.12,3.53101265,98992.36336
1.68912E+12,12/07/2023 00:00,BTC/EUR,27812.77,28126.33,27188.78,27342.98,1.89767706,51888.1459
1.68903E+12,11/07/2023 00:00,BTC/EUR,27679.18,28022.81,27675.55,27812.77,3.57186446,99343.4447
1.68895E+12,10/07/2023 00:00,BTC/EUR,27504.35,28259,27452.55,27679.18,2.17527355,60209.78814
1.68886E+12,09/07/2023 00:00,BTC/EUR,27635.72,27943.98,27504.35,27504.35,1.64800903,45327.41716
1.68877E+12,08/07/2023 00:00,BTC/EUR,27626.63,27749.4,27492.24,27635.72,1.53867026,42522.26048
1.68869E+12,07/07/2023 00:00,BTC/EUR,27612.53,27936.45,27456.04,27626.63,4.57349148,126350.1569
1.6886E+12,06/07/2023 00:00,BTC/EUR,28005.46,28969.82,27456.04,27612.53,2.91227216,80415.20239
1.68852E+12,05/07/2023 00:00,BTC/EUR,28352.09,28412.85,27784.33,28005.46,6.1985318,173592.7344
1.68843E+12,04/07/2023 00:00,BTC/EUR,28570.88,28729.79,28199.47,28352.09,2.02175672,57321.02848
1.68834E+12,03/07/2023 00:00,BTC/EUR,28099.41,28755.51,28083.23,28570.88,1.93425028,55263.23264
1.68826E+12,02/07/2023 00:00,BTC/EUR,28041.03,28211.98,27734.13,28099.41,1.13504792,31894.17687
1.68817E+12,01/07/2023 00:00,BTC/EUR,27888.21,28099.41,27852.25,28041.03,0.2958128,8294.895599
1.68808E+12,30/06/2023 00:00,BTC/EUR,28021.59,28755.51,27189,27888.21,3.63567321,101392.418
1.688E+12,29/06/2023 00:00,BTC/EUR,27586.94,28370,27586.94,28021.59,1.70361696,47738.05597
1.68791E+12,28/06/2023 00:00,BTC/EUR,28000,28030.14,27394.99,27586.94,0.76750748,21173.1828
1.68782E+12,27/06/2023 00:00,BTC/EUR,27774.1,28255.69,27705.58,28000,0.96134625,26917.695
1.68774E+12,26/06/2023 00:00,BTC/EUR,27972,28022.81,27456.04,27774.1,3.28495069,91236.54896
1.68765E+12,25/06/2023 00:00,BTC/EUR,27965.83,28439.18,27811.15,27972,1.1387839,31854.06325
1.68756E+12,24/06/2023 00:00,BTC/EUR,28127.83,28255.69,27792.61,27965.83,0.91371116,25552.69097
1.68748E+12,23/06/2023 00:00,BTC/EUR,27334.45,28821.98,27254.79,28127.83,2.66536674,74970.98255
1.68739E+12,22/06/2023 00:00,BTC/EUR,27333.69,27745.58,26975.57,27334.45,8.3223608,227487.1552
1.68731E+12,21/06/2023 00:00,BTC/EUR,26000.08,28087.97,25923.7,27333.69,5.48960127,150051.0593
1.68722E+12,20/06/2023 00:00,BTC/EUR,24574.52,26000.08,24488.81,26000.08,0.7246004,18839.66837
1.68713E+12,19/06/2023 00:00,BTC/EUR,24043.1,24721.03,24043.1,24574.52,2.36373512,58087.65598
1.68705E+12,18/06/2023 00:00,BTC/EUR,24269.46,24630.04,24043.1,24043.1,0.10536466,2533.293057
1.68696E+12,17/06/2023 00:00,BTC/EUR,24264.61,24500,24037.69,24269.46,5.29740903,128565.2566
1.68687E+12,16/06/2023 00:00,BTC/EUR,23489.62,24269.46,23124.05,24264.61,1.4598102,35421.72518
1.68679E+12,15/06/2023 00:00,BTC/EUR,23079.69,23500,22844.03,23489.62,2.5254714,59322.36351
1.6867E+12,14/06/2023 00:00,BTC/EUR,24073.34,24995.98,22991.29,23079.69,2.24731171,51867.2576
1.68661E+12,13/06/2023 00:00,BTC/EUR,24096.49,24413.02,23881.06,24073.34,2.72370445,65568.66328
1.68653E+12,12/06/2023 00:00,BTC/EUR,24043.1,24235.19,23920,24096.49,1.67973823,40475.79546
1.68644E+12,11/06/2023 00:00,BTC/EUR,24132.65,24415.27,23901.67,24043.1,0.0780584,1876.765917
1.68636E+12,10/06/2023 00:00,BTC/EUR,24610.21,24667.52,23698.01,24132.65,2.09546348,50569.08675
1.68627E+12,09/06/2023 00:00,BTC/EUR,24629.6,24822.2,24490.45,24610.21,0.20655329,5083.319843
1.68618E+12,08/06/2023 00:00,BTC/EUR,24555.93,24903.99,24503.63,24629.6,3.50784244,86396.75616
1.6861E+12,07/06/2023 00:00,BTC/EUR,25410.29,25571.06,24455.84,24555.93,6.6155567,162451.1472
1.68601E+12,06/06/2023 00:00,BTC/EUR,24020.92,25574.56,23777,25410.29,2.63638302,66991.25709
1.68592E+12,05/06/2023 00:00,BTC/EUR,25342.98,25373.86,23805,24020.92,12.53478037,301096.9565
1.68584E+12,04/06/2023 00:00,BTC/EUR,25306.89,25649.53,25220.13,25342.98,1.38595427,35124.21135
1.68575E+12,03/06/2023 00:00,BTC/EUR,25495.43,25555.12,25183.6,25306.89,1.1639795,29456.70117
1.68566E+12,02/06/2023 00:00,BTC/EUR,24929.91,25555.11,24758.65,25495.43,2.1370376,54484.69254
1.68558E+12,01/06/2023 00:00,BTC/EUR,25475.17,25580.42,24852.25,24929.91,3.17431965,79135.50319
1.68549E+12,31/05/2023 00:00,BTC/EUR,25857.33,25976.68,25259.91,25475.17,5.01503053,127758.7553
1.6854E+12,30/05/2023 00:00,BTC/EUR,25960.06,26212.06,25777.29,25857.33,2.43089657,62856.49481
1.68532E+12,29/05/2023 00:00,BTC/EUR,26210.31,26526.88,25767.62,25960.06,9.27254267,240715.7641
1.68523E+12,28/05/2023 00:00,BTC/EUR,25041.43,26322.63,24982.03,26210.31,0.71649811,18779.63758
1.68515E+12,27/05/2023 00:00,BTC/EUR,24891.97,25041.43,24819.06,25041.43,0.19111707,4785.84473
1.68506E+12,26/05/2023 00:00,BTC/EUR,24662.86,25088.32,24547.51,24891.97,2.74288732,68275.86888
1.68497E+12,25/05/2023 00:00,BTC/EUR,24478.48,25180.98,24100,24662.86,1.54557102,38118.20169
1.68489E+12,24/05/2023 00:00,BTC/EUR,25230.17,25265.53,24250,24478.48,2.21985554,54338.68944
1.6848E+12,23/05/2023 00:00,BTC/EUR,24844.6,25413.04,24221.05,25230.17,6.62071715,167041.8192
1.68471E+12,22/05/2023 00:00,BTC/EUR,24742.41,25026.49,24559.27,24844.6,0.5372517,13347.80359
1.68463E+12,21/05/2023 00:00,BTC/EUR,25082.22,25237.65,24043.11,24742.41,1.44096931,35653.05347
1.68454E+12,20/05/2023 00:00,BTC/EUR,24911.67,25154.59,24839.28,25082.22,0.25993557,6519.761153
1.68445E+12,19/05/2023 00:00,BTC/EUR,24923.74,25131.64,24691.37,24911.67,4.78883269,119297.8197
1.68437E+12,18/05/2023 00:00,BTC/EUR,25320.71,25444.03,24556.91,24923.74,4.19440683,104540.3053
1.68428E+12,17/05/2023 00:00,BTC/EUR,24970.99,26217.74,24580.92,25320.71,3.79642615,96128.20558
1.6842E+12,16/05/2023 00:00,BTC/EUR,24991.16,25103.4,24712.96,24970.99,1.64967375,41193.98671
1.68411E+12,15/05/2023 00:00,BTC/EUR,24792.52,25405.56,24671.72,24991.16,2.31409271,57831.86117
1.68402E+12,14/05/2023 00:00,BTC/EUR,24698.72,25063.24,23750.01,24792.52,0.41561357,10304.10775
1.68394E+12,13/05/2023 00:00,BTC/EUR,24787.53,24909.37,24635.87,24698.72,0.29010109,7165.125594
1.68385E+12,12/05/2023 00:00,BTC/EUR,24787.53,25180.99,23808.2,24787.53,4.26945018,105829.1244
1.68376E+12,11/05/2023 00:00,BTC/EUR,25137.84,25257.08,23894.81,24787.53,1.54333409,38255.44006
1.68368E+12,10/05/2023 00:00,BTC/EUR,25328.93,25760.55,24490.45,25137.84,1.06181963,26691.85197
1.68359E+12,09/05/2023 00:00,BTC/EUR,25172.91,25934.82,25008.03,25328.93,0.9911293,25104.24466
1.6835E+12,08/05/2023 00:00,BTC/EUR,25830.77,25931.4,24854.32,25172.91,1.36917297,34466.06795
1.68342E+12,07/05/2023 00:00,BTC/EUR,26236.68,27949.54,25830.77,25830.77,1.07170067,27682.85352
1.68333E+12,06/05/2023 00:00,BTC/EUR,26794.01,27032.09,25883.09,26236.68,0.28773817,7549.29429
1.68324E+12,05/05/2023 00:00,BTC/EUR,26293.84,26908.95,26211.41,26794.01,2.09099758,56026.21007
1.68316E+12,04/05/2023 00:00,BTC/EUR,26170.99,26568.89,25504.16,26293.84,3.3136699,87129.10616
1.68307E+12,03/05/2023 00:00,BTC/EUR,26046.83,26417.39,25478.15,26170.99,2.82701452,73985.76873
1.68299E+12,02/05/2023 00:00,BTC/EUR,26074.67,26239.47,25410.29,26046.83,1.85884117,48416.91995
1.6829E+12,01/05/2023 00:00,BTC/EUR,26559.85,26625.31,25306.43,26074.67,3.13444167,81729.53218
1.68281E+12,30/04/2023 00:00,BTC/EUR,26529.01,27200.81,25692.92,26559.85,0.55406187,14715.80016
1.68273E+12,29/04/2023 00:00,BTC/EUR,26628.67,26736.18,26461.47,26529.01,0.1463419,3882.305729
1.68264E+12,28/04/2023 00:00,BTC/EUR,26756.44,26848.99,25883.09,26628.67,0.54562173,14529.18099
1.68255E+12,27/04/2023 00:00,BTC/EUR,25744.83,27108.13,25744.83,26756.44,1.05627712,28262.21538
1.68247E+12,26/04/2023 00:00,BTC/EUR,25824.52,27161.29,24758.33,25744.83,4.39191543,113069.1161
1.68238E+12,25/04/2023 00:00,BTC/EUR,24903.99,25839.36,24734.22,25824.52,1.24273716,32093.09064
1.68229E+12,24/04/2023 00:00,BTC/EUR,25111.33,25415.62,24500,24903.99,1.67518324,41718.74666
1.68221E+12,23/04/2023 00:00,BTC/EUR,25355.07,25390.21,24961.91,25111.33,2.1822419,54798.99649
1.68212E+12,22/04/2023 00:00,BTC/EUR,24846.34,25766.52,24787.05,25355.07,0.84813822,21504.60394
1.68204E+12,21/04/2023 00:00,BTC/EUR,25705.14,26500,24766.56,24846.34,0.68679389,17064.3145
1.68195E+12,20/04/2023 00:00,BTC/EUR,26340.36,26535.65,25595.58,25705.14,2.55723642,65734.12019
1.68186E+12,19/04/2023 00:00,BTC/EUR,27725.1,27725.1,26191.08,26340.36,2.99997546,79020.43361
1.68178E+12,18/04/2023 00:00,BTC/EUR,26954.1,27758.06,26700,27725.1,2.04257041,56630.46887
1.68169E+12,17/04/2023 00:00,BTC/EUR,27578.54,27578.54,26786.01,26954.1,2.13251098,57479.91421
1.6816E+12,16/04/2023 00:00,BTC/EUR,27614.26,27830.52,27350,27578.54,1.04313889,28768.2476
1.68152E+12,15/04/2023 00:00,BTC/EUR,27705.62,27752.38,27555.48,27614.26,0.16020698,4423.9972
1.68143E+12,14/04/2023 00:00,BTC/EUR,27465.69,28047.14,27366.96,27705.62,2.67112029,74005.04373
1.68134E+12,13/04/2023 00:00,BTC/EUR,27228.2,27684.29,27228.2,27465.69,1.54807729,42519.01094
1.68126E+12,12/04/2023 00:00,BTC/EUR,27702.74,27840.73,27164.62,27228.2,2.61824268,71290.03534
1.68117E+12,11/04/2023 00:00,BTC/EUR,27307.97,27998.09,27307.97,27702.74,8.69776233,240951.8484
1.68108E+12,10/04/2023 00:00,BTC/EUR,25998.34,27415.93,25964.77,27307.97,2.64882512,72334.03691
1.681E+12,09/04/2023 00:00,BTC/EUR,25637.17,26200,25556.4,25998.34,0.13140216,3416.238032
1.68091E+12,08/04/2023 00:00,BTC/EUR,25628.42,25858.43,25618.72,25637.17,0.1685156,4320.263085
1.68083E+12,07/04/2023 00:00,BTC/EUR,25809.09,25834.92,25522.67,25628.42,0.4367076,11192.12579
1.68074E+12,06/04/2023 00:00,BTC/EUR,25850.71,25877.15,25480,25809.09,4.24928919,109670.2871
1.68065E+12,05/04/2023 00:00,BTC/EUR,25684.15,26269.68,25358.48,25850.71,3.93541858,101733.3644
1.68057E+12,04/04/2023 00:00,BTC/EUR,25522.67,26144.73,25475.1,25684.15,5.17529904,132923.1568
1.68048E+12,03/04/2023 00:00,BTC/EUR,26105.54,26269.68,25055.69,25522.67,3.71886033,94915.24498
1.68039E+12,02/04/2023 00:00,BTC/EUR,26317.89,26437.83,25783.44,26105.54,1.44499469,37722.36668
1.68031E+12,01/04/2023 00:00,BTC/EUR,26343.5,26584.71,26092.68,26317.89,0.72974033,19205.22573
1.68022E+12,31/03/2023 00:00,BTC/EUR,25656.72,26437.83,25334.84,26343.5,7.06572987,186136.0548
1.68013E+12,30/03/2023 00:00,BTC/EUR,26178.83,26939.95,25480,25656.72,3.12496568,80176.36946
1.68005E+12,29/03/2023 00:00,BTC/EUR,25198.01,26437.83,25198.01,26178.83,2.9606302,77505.8347
1.67996E+12,28/03/2023 00:00,BTC/EUR,25139.24,25370.3,24647.21,25198.01,5.8217091,146695.4841
1.67988E+12,27/03/2023 00:00,BTC/EUR,26056.49,26497.13,24688.28,25139.24,1.13264727,28473.89156
1.67979E+12,26/03/2023 00:00,BTC/EUR,25557.86,26207.13,25241.45,26056.49,0.41534295,10822.37942
1.6797E+12,25/03/2023 00:00,BTC/EUR,25588.4,25834.92,25307.89,25557.86,0.345268,8824.311206
1.67962E+12,24/03/2023 00:00,BTC/EUR,26170.08,26340.36,25148.4,25588.4,3.02061327,77292.6606
